"date" "web" "bask_vol" "ind" "web_ind" "latency" "space" "sail" "edge_b" "active" "rest_exp" "care_young" "walk"
"25/06/2019" 1 0.31 1 "1_1" 18 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 1 0.31 1 "1_1" 18 "midle_basket" 0 0 1 0 1 0
"26/06/2019" 1 0.31 1 "1_1" 18 "midle_basket" 0 0 1 0 1 0
"25/06/2019" 1 0.31 2 "1_2" 6 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 1 0.31 2 "1_2" 6 "midle_basket" 0 0 1 0 1 0
"26/06/2019" 1 0.31 2 "1_2" 6 "midle_basket" 0 0 0 1 0 0
"25/06/2019" 1 0.31 3 "1_3" 57 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 1 0.31 4 "1_4" 25 "edge_basket" 0 1 0 0 0 0
"25/06/2019" 1 0.31 4 "1_4" 25 "sail" 1 0 1 0 0 1
"26/06/2019" 1 0.31 4 "1_4" 25 "edge_basket" 0 1 0 1 0 0
"25/06/2019" 1 0.31 5 "1_5" 35 "edge_basket" 0 1 1 0 1 0
"25/06/2019" 1 0.31 5 "1_5" 35 "edge_basket" 0 1 1 0 1 0
"26/06/2019" 1 0.31 5 "1_5" 35 "edge_basket" 0 1 1 0 0 1
"25/06/2019" 1 0.31 6 "1_6" 30 "midle_basket" 0 0 0 1 0 0
"25/06/2019" 1 0.31 8 "1_8" 72 "midle_basket" 0 0 1 0 1 0
"26/06/2019" 1 0.31 8 "1_8" 72 "sail" 1 0 0 1 0 0
"25/06/2019" 1 0.31 9 "1_9" 11 "edge_basket" 0 1 1 0 0 1
"26/06/2019" 1 0.31 9 "1_9" 11 "sail" 1 0 1 0 0 1
"25/06/2019" 1 0.31 11 "1_11" 58 "midle_basket" 0 0 0 0 0 0
"26/06/2019" 1 0.31 12 "1_12" 15 "edge_basket" 0 1 1 0 1 0
"26/06/2019" 1 0.31 13 "1_13" 34 "edge_basket" 0 1 1 0 0 1
"25/06/2019" 2 0.43 1 "2_1" 17 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 2 0.43 1 "2_1" 17 "sail" 1 0 1 0 0 1
"26/06/2019" 2 0.43 1 "2_1" 17 "sail" 1 0 1 0 0 1
"25/06/2019" 2 0.43 2 "2_2" 32 "midle_basket" 0 0 1 0 1 0
"26/06/2019" 2 0.43 2 "2_2" 32 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 2 0.43 4 "2_4" 22 "edge_basket" 0 1 0 0 0 0
"25/06/2019" 2 0.43 4 "2_4" 22 "sail" 1 0 1 0 0 1
"26/06/2019" 2 0.43 4 "2_4" 22 "sail" 1 0 1 0 0 1
"25/06/2019" 2 0.43 6 "2_6" 11 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 2 0.43 6 "2_6" 11 "midle_basket" 0 0 0 0 0 0
"26/06/2019" 2 0.43 6 "2_6" 11 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 2 0.43 8 "2_8" 38 "sail" 1 0 1 0 0 1
"25/06/2019" 2 0.43 9 "2_9" 48 "edge_basket" 0 1 0 0 0 0
"25/06/2019" 2 0.43 9 "2_9" 48 "sail" 1 0 1 0 0 1
"25/06/2019" 2 0.43 11 "2_11" 19 "edge_basket" 0 1 0 0 0 0
"25/06/2019" 2 0.43 12 "2_12" 34 "edge_basket" 0 1 1 0 1 0
"26/06/2019" 2 0.43 12 "2_12" 34 "edge_basket" 0 1 0 0 0 0
"25/06/2019" 2 0.43 13 "2_13" 43 "edge_basket" 0 1 0 0 0 0
"25/06/2019" 2 0.43 13 "2_13" 43 "edge_basket" 0 1 0 0 0 0
"26/06/2019" 2 0.43 13 "2_13" 43 "edge_basket" 0 1 0 0 0 0
"25/06/2019" 3 0.36 1 "3_1" 28 "sail" 1 0 1 0 0 0
"25/06/2019" 3 0.36 1 "3_1" 28 "sail" 1 0 0 1 0 0
"26/06/2019" 3 0.36 1 "3_1" 28 "sail" 1 0 1 0 0 1
"25/06/2019" 3 0.36 2 "3_2" 59 "midle_basket" 0 0 0 0 0 0
"26/06/2019" 3 0.36 3 "3_3" 8 "midle_basket" 0 0 1 0 0 1
"25/06/2019" 3 0.36 4 "3_4" 52 "edge_basket" 0 1 1 0 0 1
"25/06/2019" 3 0.36 4 "3_4" 52 "edge_basket" 0 1 1 0 0 1
"26/06/2019" 3 0.36 4 "3_4" 52 "edge_basket" 0 1 0 0 0 0
"26/06/2019" 3 0.36 5 "3_5" 31 "edge_basket" 0 1 0 1 0 0
"25/06/2019" 3 0.36 7 "3_7" 87 "midle_basket" 0 0 0 0 0 0
"26/06/2019" 3 0.36 7 "3_7" 87 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 3 0.36 8 "3_8" 12 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 3 0.36 8 "3_8" 12 "sail" 1 0 1 0 0 1
"26/06/2019" 3 0.36 8 "3_8" 12 "sail" 1 0 1 0 0 1
"25/06/2019" 3 0.36 10 "3_10" 11 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 3 0.36 10 "3_10" 11 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 3 0.36 11 "3_11" 59 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 3 0.36 12 "3_12" 18 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 3 0.36 13 "3_13" 16 "midle_basket" 0 0 1 0 1 0
"26/06/2019" 3 0.36 13 "3_13" 16 "sail" 1 0 1 0 0 1
"25/06/2019" 3 0.36 14 "3_14" 34 "edge_basket" 0 1 1 0 0 1
"25/06/2019" 4 0.75 1 "4_1" 34 "edge_basket" 0 1 0 0 0 0
"25/06/2019" 4 0.75 1 "4_1" 34 "edge_basket" 0 1 0 0 0 0
"26/06/2019" 4 0.75 1 "4_1" 34 "edge_basket" 0 1 0 0 0 0
"25/06/2019" 4 0.75 2 "4_2" 19 "midle_basket" 0 0 0 0 0 0
"26/06/2019" 4 0.75 2 "4_2" 19 "midle_basket" 0 0 1 0 1 0
